UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
The Grinch,@gloomybloomy_,2021-04-16T21:57:12.000Z,"Karma is not real, but kurma is.",,,,,1,[],https://twitter.com/gloomybloomy_/status/1383177682079260674,kurma
Iftahfia,@kentangmaribuan,2021-04-15T13:18:30.000Z,"Replying to 
@kentangmaribuan","Yg sbenernya gw gedeg dan bikin badmod. Di antaranya adalah:
1. Kalo si A (sebut merek) udah beramal jariyah plafon untuk teras musola dan plafon masjid
2. Si B udah beramal jariyah sebanyak 500 rb 
3. Si C udah beramal jariyah sebanyak 5 jt
4. Alm si D udah beramal jariyah sbnyk",,1,,,[],https://twitter.com/kentangmaribuan/status/1382684760644886529,kurma
Iftahfia,@kentangmaribuan,2021-04-15T13:18:31.000Z,"5 jt
5. Nanti habis solat akan ada pembagian takjil/kurma untuk jamaah, sodaqoh dari si A
""Untuk itu mari kita hadiahi surat alfatihah semoga rizqi mereka lancar"".",,,1,,,[],https://twitter.com/kentangmaribuan/status/1382684762427465728,kurma
Yuni Cahya,@yuni_ce,2021-04-14T13:30:18.000Z,kurma keijuu ini....gak ada lawan...,,,,,,['https://pbs.twimg.com/media/Ey8BkYMUUAAUZjl?format=jpg&name=900x900'],https://twitter.com/yuni_ce/status/1382325343680274439,kurma
FESS,@FOODFESS2,2021-04-13T17:41:16.000Z,fess kalian sahur ada yg ga pake nasi? biasanya apa kalo ngga pake nasi?,,,28,1,1,[],https://twitter.com/FOODFESS2/status/1382026112037900289,kurma
#DIRUMAHAJA pesan makanan via gofood/grabfood dulu,,2021-04-13T18:26:01.000Z,"Bisa pake oats, roti gandum, sourdough atau kurma sih kalo mau kenyang yg awet",,,,,,[],https://twitter.com/Warungnoms/status/1382037375241490433,kurma
Naynay,@nailulrohmah,2021-04-13T05:23:17.000Z,"Ku bangunin suami, mnta beliin gas, yg mana itu sudah jam 3, sambil nunggu tuntasin potong sayur, minum susu kurma, dan uda stegah 4 suami blm balik, uda feeling, gda tukang gas yang buka hahahahha, 
akhirnya dateng dan bener gda, gda yg jual lauk jg, oke, ada sisa ayam aku makan",,,,,,[],https://twitter.com/nailulrohmah/status/1381840390265835522,kurma
Mas.Jagad,@basukicatur_,2021-04-22T20:37:56.000Z,Kurma memang best deals untuk bulan puasa. Cepet dan enakkkk,,,,,1,[],https://twitter.com/basukicatur_/status/1385332061414694912,kurma
"Rizal do | GA Hot Sauce, cek likes",@afrkml,2021-04-24T12:20:14.000Z,"Gue mau ngingetin temen2 lagi yaa utk JANGAN MINUM TEH PAS SAHUR krn efek diuretiknya bikin sering pipis yg berisiko dehidrasi. Mending air anget atau susu. Kalau gue sih prefer susu, kayak Bear Brand. Apalagi musim flu begini. Cocok banget diminum #1KalengSaatSahur. Kalian gmn?",,,103,269,1.2K,['https://pbs.twimg.com/media/EzvRbI6VEAM-k6O?format=jpg&name=small'],https://twitter.com/afrkml/status/1385931587573850112,kurma
milo_mcd,@finaa_irfana,2021-04-24T14:53:07.000Z,Tim kalo males makan nasi pas  saur cukup bearbrand madu kurma air putih,,ğŸ˜‚,1,,,[],https://twitter.com/finaa_irfana/status/1385970063165988872,kurma
Bapakmu,@penyemangatku__,2021-04-23T07:41:48.000Z,"Replying to 
@yusufabdnms",Kurma yg bisa diminum kek mana tu,,1,,1,[],https://twitter.com/penyemangatku__/status/1385499128784855041,kurma
uknowlahh,@yusufabdnms,2021-04-23T07:42:31.000Z,Energen kurma wkwk,,,,,,[],https://twitter.com/yusufabdnms/status/1385499311518011392,kurma
ON - Tanyarl,@bertanyarl,2021-04-24T15:50:00.000Z,Tanyarl dari skala 1-10 seberapa suka kalian sama kurma?,,,210,8,5,[],https://twitter.com/bertanyarl/status/1385984376366796800,kurma
tulang rusuk mas chanyeol,@intanpcy_,2021-04-24T16:16:13.000Z,"0, gasuka kurma",,,,,,[],https://twitter.com/intanpcy_/status/1385990973465919492,kurma
nur annisa,@ann1s4,2021-04-24T05:54:34.000Z,"siang teman-teman, semoga masih kuat menjalankan ibadah puasa pastikan kita mengkonsumsi makanan sehat dengan gizi seimbang supaya keluarga sehat dan anak-anak pun kuat ",,ğŸ˜€,21,20,24,[],https://twitter.com/ann1s4/status/1385834529831546880,kurma
Koko,@kookoari,2021-04-24T07:25:10.000Z,"tiap hari aku usahain makan kurma mbak, favoritku banget",,,,,,[],https://twitter.com/kookoari/status/1385857330437189633,kurma
iigipimimimi_,@EigiPema,2021-04-24T10:59:52.000Z,"Keluargaku mau ngebiasain kalo buka pertama kali maem kurma. Tapi masih ae pertama kali abis minum terus megang gorengan, kurmane dianggurin",,ğŸ˜­,,,2,[],https://twitter.com/EigiPema/status/1385911360664477698,kurma
R I E F S,@Sahabat_Arif_id,2021-04-23T06:04:24.000Z,"Replying to 
@yusufabdnms",Aku klo buka puasa selalu pake itu.,,1,,,[],https://twitter.com/Sahabat_Arif_id/status/1385474617842622471,kurma
uknowlahh,@yusufabdnms,2021-04-23T06:38:24.000Z,Kurma sayang,,,1,,,[],https://twitter.com/yusufabdnms/status/1385483175070113793,kurma
Bapakmu,@penyemangatku__,2021-04-23T06:06:41.000Z,"Replying to 
@yusufabdnms",Aku cuma percaya sama kurma,,1,,,[],https://twitter.com/penyemangatku__/status/1385475194609831942,kurma
Jawa garis lucu | ada di webtoon!,@jawafess,2021-04-23T03:20:04.000Z,"Lur ,Apakah ini yang di namakan kecewa?","The following media includes potentially sensitive content. Change settings
View",,88,63,417,[],https://twitter.com/jawafess/status/1385433261594222592,kurma
avril_,@psikologmuda_,2021-04-23T03:23:32.000Z,bukan itu KURMA,,,,,,[],https://twitter.com/psikologmuda_/status/1385434134420496389,kurma
Tokoyaman,@Tokoyaman2,2021-04-24T06:07:46.000Z,"KURMA TUNIS SAPPHIRE
UKURAN 1/2 KG 50 #kurmasapphire",,,,,1,"['https://pbs.twimg.com/media/Ezt8K2uVUAE99q1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ezt8LVkUUAIQ5xD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ezt8LHQVUAEWhNa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ezt8LoGVgAUY1oR?format=jpg&name=360x360']",https://twitter.com/Tokoyaman2/status/1385837852164984834,kurma
Teddy Gusnaidi,@TeddyGusnaidi,2021-04-25T05:01:41.000Z,"Replying to 
@TeddyGusnaidi","8. Sekarang gue kasih kesempatan ke anda untuk belajar menjadi laki2 sejati, lumayan anda bisa tampil di media dgn pernyataan maaf. Tapi kalau anda tidak mau, ya gak apa2 juga, itu pilihan anda. Banyak belajar lagi ya dek abubakar.. 
 @abubakarsegaf
Terima kasih
Teddy Abu Qurma",ğŸ˜Š,114,51,153,[],https://twitter.com/TeddyGusnaidi/status/1386183611347439623,kurma
BOIM AZZA,@imam_sendiriaza,2021-04-25T05:05:59.000Z,Situ abu kurma yg sono abi gosok,,ğŸ¤£ ğŸ¤£,,,2,[],https://twitter.com/imam_sendiriaza/status/1386184694065029120,kurma
Riann,@bogoshiipo,2021-04-26T13:23:39.000Z,"Replying to 
@FOODFESS2","gatau, kalau dikasih kurma tinggal makan gapernah cari tau tipe2 kurmanya",,,,,[],https://twitter.com/bogoshiipo/status/1386672322493313033,kurma
Max Imoez,@ImoezMax,2021-04-23T13:08:19.000Z,"Replying to 
@geraianakbunda","Blm pernah tuh bersihin kurma kyk gitu. Kurma ga perlu dicuci jg. 
Soalnya Klo beli yg kemasan n yg kering msh ada batang nya....itu yg plg Kusuka, lezat n Alhamdulillah menyehatkan.",ğŸ˜€,,,,[],https://twitter.com/ImoezMax/status/1385581298568159238,kurma
halim,@Halim02_ID,2021-04-23T11:28:52.000Z,"Replying to 
@ellyn_31",Kurma ,ğŸ‘,1,,,[],https://twitter.com/Halim02_ID/status/1385556272360030215,kurma
,@R_besar0804,2021-04-24T11:46:11.000Z,"3 buah kurma dihaluskan + potongan pisang + air hangat, enak bnget",,ğŸ‘¤,4,,5,['https://pbs.twimg.com/media/EzvJggAVUAAX9Zj?format=jpg&name=small'],https://twitter.com/R_besar0804/status/1385923017679593476,kurma
Tokoyaman,@Tokoyaman2,2021-04-24T08:18:56.000Z,"KURMA TUNIS SAPPHIRE
UKURAN 1/2 KG 50 #kurmasapphire",,,,,1,"['https://pbs.twimg.com/media/EzuaMYyVUAI75ED?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzuaM6mVkAAb8Ui?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzuaMreVIAAlPv6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzuaNKMVEAUEExJ?format=jpg&name=360x360']",https://twitter.com/Tokoyaman2/status/1385870863342338049,kurma
Coffe addict,@timetofun69,2021-04-26T11:26:43.000Z,"Replying to 
@FWBESS",Air putih sama kurma,,,,,[],https://twitter.com/timetofun69/status/1386642895508103170,kurma
iqbal s,@Iqbal_Salam_,2021-04-25T11:30:11.000Z,"Replying to 
@ayanashb0306
 and 
@pegipegi",Instan kurma(?),,,,,[],https://twitter.com/Iqbal_Salam_/status/1386281380791799809,kurma
aku tikaa,@Kartika21504444,2021-04-23T16:43:15.000Z,"Replying to 
@mochammadmaola
 and 
@uinwsfess",pak dosen jga bawain martabak ya dulu ?,ğŸ­ ğŸ­,3,,,[],https://twitter.com/Kartika21504444/status/1385635388278984704,kurma
anak soleh,@jnkitwitr,2021-04-23T16:44:43.000Z,"klo mrtabaknya rasa kurma, apkh mnambah kesunnahan pak?",,,1,,,[],https://twitter.com/jnkitwitr/status/1385635759915356161,kurma
MituHu,@Hamadi88_,2021-04-24T18:10:30.000Z,Makan sahur atau berbuka menu kurma itu sunah namun pake NASI wajib untuk menjaga kesehatan ketahanan tubuh...,,,,,,[],https://twitter.com/Hamadi88_/status/1386019735192563716,kurma
ãƒ¯ã‚¹ãƒ†ã‚£,@wasti_127,2021-04-13T09:54:26.000Z,"Hiya2 es buah dan kawan2nya sudah bertebaran, selamat berbuka wilayah timur ",,ğŸŒ¸ ğŸ˜,,,,[],https://twitter.com/wasti_127/status/1381908628219650048,es buah
Zain,@mzainhimawan,2021-04-16T09:43:42.000Z,"Replying to 
@khoirunicaca_",Cah cilik,,1,,,[],https://twitter.com/mzainhimawan/status/1382993093381681156,es buah
Thiramisusu,@sayasukacuan,2021-04-16T11:26:03.000Z,Permisi es buah mas mbak 5rban,,,,,,[],https://twitter.com/sayasukacuan/status/1383018848316653573,es buah
RRQ JHONO,@m_onohJ,2021-04-18T11:00:32.000Z,"Pemcarian es buah termurah.
Es Naga Rp. 3.000",,,1,,,['https://pbs.twimg.com/media/EzQFp2IVoAs1SOI?format=jpg&name=small'],https://twitter.com/m_onohJ/status/1383737204866912261,es buah
Faisal Fadli,@faisalfadli55,2021-04-20T06:06:33.000Z,"Replying to 
@Laporankegiatan",Es buah,,1,,,[],https://twitter.com/faisalfadli55/status/1384387994329567233,es buah
Dinabol,@Tagentaa,2021-04-17T06:35:57.000Z,"""ma ntr bukaannya pake es pisang ijo ya, aku yang buat""

Mthr ""anehÂ² udah es buah aja""

Yakali 30 hari puasa es buah teros",,ğŸ˜­,1,,8,[],https://twitter.com/Tagentaa/status/1383308229938008065,es buah
FESS,@FOODFESS2,2021-04-23T11:46:38.000Z,"fess kasih inspirasi menu buka puasa yang sehat+enak dong guys
 thank you! ",,ğŸ¥º ğŸ¥°,3,,2,[],https://twitter.com/FOODFESS2/status/1385560745316737026,es buah
es,@teapaiit,2021-04-23T11:47:47.000Z,"Nasi, sayur bayam, ayam goreng, tahu goreng, buah pisang",,,,,,[],https://twitter.com/teapaiit/status/1385561034098810882,es buah
cilubahartami,@cilubahartamii,2021-04-25T04:39:42.000Z,"Kesellll lahhh kon mikir kabeh edan po,aku dewe seng mikir sopo",,ğŸ˜’,2,,3,[],https://twitter.com/cilubahartamii/status/1386178076539703296,es buah
cia,@xxpiec,2021-04-25T04:48:37.000Z,yowes tak ewangi mikir karo mangan es buah,,,1,,,[],https://twitter.com/xxpiec/status/1386180322404954113,es buah
ulfa,@khoirinida,2021-04-26T06:54:51.000Z,Lebih seger dari es buah,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/khoirinida/status/1386574477677318150,es buah
aku,@In_Hidayatul,2021-04-24T11:20:01.000Z,Manusia yg kalo nyari es buah setelah buka dan sholat (:,,,,,2,[],https://twitter.com/In_Hidayatul/status/1385916433394126848,es buah
chal,@zichal_,2021-04-26T07:24:23.000Z,"Replying to 
@scoldsmepls",Es teh seger mas,,1,,,[],https://twitter.com/zichal_/status/1386581909031964673,es buah
Ordinary Lucky Boy,@scoldsmepls,2021-04-26T07:24:57.000Z,Ini di aku ada es buah mz,,,1,,,[],https://twitter.com/scoldsmepls/status/1386582051776696321,es buah
es,@teapaiit,2021-04-23T21:17:36.000Z,"Replying to 
@FOOD_FESS",Pudding buah?,,,,,[],https://twitter.com/teapaiit/status/1385704430876516354,es buah
shella,@irtupallehs,2021-04-26T05:23:07.000Z,"Replying to 
@scoldsmepls",kalo nangis keluar es teh ya batal,,1,,,[],https://twitter.com/irtupallehs/status/1386551390445600769,es buah
Ordinary Lucky Boy,@scoldsmepls,2021-04-26T05:44:53.000Z,Dahal es buah,,,,,,[],https://twitter.com/scoldsmepls/status/1386556869670412288,es buah
S e n t o t,@dotnegn,2021-04-22T06:02:42.000Z,Hawane kudu ne ngombe esbuah sak kebon e,,,,,2,[],https://twitter.com/dotnegn/status/1385111802095161346,es buah
Niung Luxcyana,@niungluxcyana,2021-04-23T11:05:17.000Z,"Kok bisa ya orang-orang buka puasa langsung makan? Sedangkan aku, minum teh anget gelas kecil sama beberapa gorengan aja dah kenyang, ditambah es buah dah kenyang banget",,,1,,,[],https://twitter.com/niungluxcyana/status/1385550339189841920,es buah
Nur Azizah,@Azizah921,2021-04-23T05:16:41.000Z,"Busui ga puasa kan, habis dari sriwijaya aku mampir beli es buah langganan aku yg alpukate banyak.
Sampe rumah aku minum, eh ibuk bilang ""sisain dikit buat ibuk buka"" wkwk ternyata ibuk pengen jugaa ",,ğŸ˜†,,,,[],https://twitter.com/Azizah921/status/1385462611609747457,es buah
masker sensi 3ply,@ngadingadibgt,2021-04-25T21:13:51.000Z,Tadi yang diemâ€ beliin es buah siapa si,,,44,1,52,[],https://twitter.com/ngadingadibgt/status/1386428264994906118,es buah
wajan gosong,@ysrllthfi,2021-04-23T00:58:01.000Z,Sudahi puasamu mari luru es buah karo sego pecel bersamaku,,,2,,,[],https://twitter.com/ysrllthfi/status/1385397512199053316,es buah
mashar hilmi,@masharhilmi,2021-04-26T02:47:58.000Z,"Masih belum bisa lepas dari bayang-bayang pandemi. Biasanya tiap ramadan gini, anak-anak dah oyak2 ngajak bukber bareng. Masak di kelas dan bikin es buah bareng. Sambil muhasabah, pengakuan dosa selama di kegiatan OSIS dan Pramuka. Ternyata bahagiaku cuma sederhana.",,,,,1,[],https://twitter.com/masharhilmi/status/1386512346378477569,es buah
maspras,@_masprast,2021-04-24T07:28:38.000Z,"Nak golekmu sing sugih, gagah, gede dhuwur, aku mundur.
Tapi nak golekmu es buah aku titip siji.",,,,,1,[],https://twitter.com/_masprast/status/1385858204836401153,es buah
"CaT's
caT's",@bayusuryakusuma,2021-04-25T08:03:18.000Z,Ngabuburit sambil minus es buah.,,ğŸˆ ğŸ™€,,,,[],https://twitter.com/bayusuryakusuma/status/1386229316204122114,es buah
saf,@m_safiii,2021-04-26T10:30:07.000Z,Es buah melambai lambai,,,,,,[],https://twitter.com/m_safiii/status/1386628650053767176,es buah
ğ”¼ğ•Ÿğ•Ÿğ• ,@Ennoooook,2021-04-26T05:32:20.000Z,Tak kasih potoku siapa tau kangen ,,ğŸ˜› ğŸ˜œ ğŸ˜‹,13,3,47,"['https://pbs.twimg.com/media/Ez4HPQVVEAQUEzc?format=jpg&name=small', 'https://pbs.twimg.com/media/Ez4HPySVEAUua_V?format=jpg&name=small']",https://twitter.com/Ennoooook/status/1386553711883743233,es buah
yangkamucari,@najib56455109,2021-04-26T05:32:55.000Z,jadi pengen es buah,,,1,,,[],https://twitter.com/najib56455109/status/1386553860022366208,es buah
Sambungan rante,@Ythmasabi,2021-04-14T14:27:19.000Z,"Replying to 
@txtdrstoryWA
 and 
@cahmageran",Rasanya jd gorengan bangetttttttttttttttttttt,ğŸ˜ ğŸ˜ ğŸ˜,,,,[],https://twitter.com/Ythmasabi/status/1382339691974823938,gorengan
-,@tahukrispiiiii,2021-04-14T21:00:46.000Z,"Buka puasa boleh pake gorengan , tapi kalo sahurr.. tetep pake gorengan sisa tadi",,,,,1,[],https://twitter.com/tahukrispiiiii/status/1382438705755934723,gorengan
Geshar Vaelanorr,@gesharvaela,2021-04-15T14:05:06.000Z,"Kalau malam ga bisa makan gorengan
Contohnya kentang goreng
Padahal kan enak",,,,,,[],https://twitter.com/gesharvaela/status/1382696489227522051,gorengan
elifaz eldy,@elifazeldy,2021-04-16T08:47:36.000Z,"Replying to 
@rahmadansid
 and 
@TradingDiary2","salah mas. jangan beli gorengan kalo kamu bukan bandarnya... Wkwk,",,2,,,[],https://twitter.com/elifazeldy/status/1382978973676699649,gorengan
